nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
2738,6.1824897100000005,7.99592394,2.51480649,10.415480322609568,17.24662631,2.95337182,0.30601239,17.500347647026555,28.03825765,4.67634609,0.08725468999999997,28.425687646601773,4.60914163,9.71889821,2.29604879,10.998773069201889
2739,6.077859569999999,7.89810727,2.57034858,10.292092460902955,17.29932453,2.9325766200000003,0.28916259999999994,17.548511328191605,28.02614983,4.68177917,0.061615039999999954,28.41457243921522,4.6489657300000005,9.64730982,2.34280102,10.962307500754388
2740,6.0011164699999995,7.840669259999999,2.58014652,10.20522657249129,17.36406449,2.9046908799999995,0.32425209,17.608324853293215,28.037117770000002,4.6892777,0.08490643999999992,28.42668653396172,4.67193681,9.62525608,2.34080087,10.952255332816282
2741,6.02033854,7.91365517,2.57361884,10.27102371818311,17.353336730000002,2.94401956,0.29181499,17.603712756768626,28.0838728,4.61603281,0.07086692000000006,28.460792196808697,4.71019753,9.58566842,2.35267077,10.936455531012585
2742,5.97734644,7.908465119999999,2.52250144,10.229149746329817,17.361287729999997,2.98579349,0.28472411,17.61846594421859,28.043761599999996,4.63040583,0.029227780000000037,28.42347756857447,4.70512743,9.553077459999999,2.2670051100000004,10.887553685657057
2743,5.97622702,7.8206316000000005,2.4183786300000003,10.135389643005214,17.4306387,3.04480648,0.24377841999999994,17.69625496845718,28.0337187,4.71929744,0.029535300000000042,28.42819067073855,4.626852980000001,9.49512256,2.2041355100000004,10.789964516827608
2744,5.978667720000001,7.84328236,2.37235365,10.143451470063113,17.48608274,3.13934028,0.22040870000000012,17.76702358243474,28.03641854,4.71335193,0.013387669999999963,28.42985455811898,4.57166808,9.417294009999999,2.16533262,10.689913042663576
2745,6.02390348,7.88580954,2.27118649,10.179965290209473,17.49123935,3.1837789099999996,0.28009249999999986,17.780842329746516,28.09874517,4.70221263,0.08088432000000001,28.489591538306613,4.58360234,9.404243260000001,2.07197831,10.665003320281686
2746,6.08403857,7.826046229999999,2.24922834,10.16472100162144,17.558180540000002,3.29039051,0.3105047200000002,17.866526992246566,28.21773374,4.78302613,0.10432087000000001,28.62042486102739,4.575514630000001,9.318681849999999,2.0430444899999998,10.580510211657225
2747,6.04787727,7.70871756,2.31918903,10.068752834870233,17.635475959999997,3.3654123,0.30018269,17.95622794275303,28.25153413,4.9013614,0.04404366999999998,28.67358477966841,4.568180900000001,9.24466666,2.06305001,10.516097837762892
