rattling1 for OH1 starts here
409   481        -1.66576610     -0.11082337     -0.62363317
410   481        -1.67215858     -0.15533008     -0.66337761
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
399   481        -1.74981425     -0.00100818     -0.50118155
400   481        -1.72384062     -0.07296868     -0.47375980
401   481        -1.71422783     -0.06736576     -0.44263283
402   481        -1.72513835     -0.01121821     -0.42814262
403   481        -1.76243378      0.04376165     -0.45965906
404   481        -1.79415261      0.07831366     -0.50997356
405   481        -1.78660910      0.09598417     -0.54204626
406   481        -1.74267941      0.07838365     -0.56018490
407   481        -1.69217639      0.01078197     -0.58496429
408   481        -1.66841638     -0.05300921     -0.60290798
409   481        -1.66576610     -0.11082337     -0.62363317
410   481        -1.67215858     -0.15533008     -0.66337761
411   481        -1.69279537     -0.17457703     -0.71649966
412   481        -1.72178778     -0.22579754     -0.77133493
413   481        -1.72760754     -0.28333405     -0.78971997
414   481        -1.73087127     -0.32804885     -0.77983265
415   481        -1.72569801     -0.36101206     -0.73921946
416   481        -1.71769187     -0.38291803     -0.64534840
417   481        -1.74233535     -0.40579415     -0.55942252
rattaling1 for OH1 ends here
rattling1 for OH2 starts here
545   517        11.45028988     -3.40217025      1.62784683
546   517        11.47044874     -3.45645075      1.63801506
547   517        11.48415636     -3.51305380      1.64167504
548   517        11.49642025     -3.54986830      1.63560842
549   517        11.47867377     -3.56098341      1.62771533
550   517        11.44079425     -3.56060406      1.62162063
551   517        11.41904514     -3.57694623      1.61578139
552   517        11.43941128     -3.63261534      1.60900761
553   517        11.50262054     -3.70028925      1.61861183
554   517        11.57512366     -3.76474388      1.63114107
555   517        11.60006793     -3.81991283      1.63328065
556   517        11.59477257     -3.86581677      1.60650056
557   517        11.58917625     -3.88267858      1.57321210
558   517        11.59002351     -3.86436971      1.53842174
559   517        11.56826201     -3.84052842      1.49181101
560   517        11.52909583     -3.83056920      1.44355872
561   517        11.49379982     -3.82954958      1.40420938
562   517        11.49607823     -3.82599870      1.40093592
563   517        11.53132338     -3.82217429      1.39299052
rattaling1 for OH2 ends here
