Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
27.0,0.27,0.3136988548707327,-0.01805842203769795,-0.01918663206724531,0.33730641068894057,-0.011086565304956516,0.3376344836435003
28.0,0.28,0.36293938511937957,-0.013907245214201662,-0.015002617695199465,0.3422901593316851,-0.006792417801581742,0.33981037049448803
29.0,0.29,0.36003758586729795,-0.02024540726597613,-0.0014535645463468528,0.37393241098393143,-0.01943595660241711,0.3610280074690582
30.0,0.3,0.394217313226571,-0.0010738492494459027,-0.006287870529699446,0.38041197015510825,-0.02280786110195664,0.3695165957209098
31.0,0.31,0.4017129448730942,-0.008425199388719091,-0.009348651372100813,0.4012744864095496,-0.018280669301667316,0.3642835153555323
32.0,0.32,0.38759183133506175,-0.004115190967269071,-0.0038730072493536384,0.4125197710676336,-0.030291006675553362,0.37126084780999075
33.0,0.33,0.42485689751856065,0.0016553128907268184,-0.02132420506317384,0.41893528488816895,-0.03001127163167292,0.38149125444951
34.0,0.34,0.44810459422421406,-0.010867192646423409,-0.020519993011324986,0.43456767435241045,-0.019264079478152365,0.42563280086892125
35.0,0.35,0.4737267178575287,-0.02602619866217894,-0.023235181985611073,0.44331852988433185,-0.037055026202662635,0.41235719078107785
36.0,0.36,0.46905564368952823,0.00936692207012307,-0.015018456114739231,0.4499175612417826,-0.02189793311101393,0.4333365622525197
37.0,0.37,0.46659625287535644,-0.00583699891529585,-0.030635681585738136,0.4744936284239837,-0.04602988747876767,0.45741245381323664
38.0,0.38,0.5052062333832285,0.01411771463848636,-0.04274750036544953,0.4899437011049827,-0.014505723912022048,0.45496859193765193
39.0,0.39,0.5247616369293359,0.006370263767994732,-0.031736875315062106,0.5342353376325719,-0.029169357947634728,0.4844750708074927
40.0,0.4,0.5311044335971824,0.0072528737324607925,-0.03885331716659768,0.5265554197028015,-0.024820114657813974,0.4890324728803717
41.0,0.41,0.5045975663782792,-0.00046215380518682057,-0.00926738574011496,0.5596659036174916,-0.03514459651273413,0.500729088998815
42.0,0.42,0.5790544548304059,0.013038703259593077,-0.03779780173591555,0.5280897150473366,-0.0391207032712295,0.5216294672834356
43.0,0.43,0.6021284747176966,0.013974984094167014,-0.055159507994977715,0.5532128717982919,-0.04561728960535343,0.5288452811751668
44.0,0.44,0.6048086868661168,0.01847738254772727,-0.03697421893841257,0.6119713959274644,-0.02836146514559757,0.532961349845819
45.0,0.45,0.6150515083742227,0.018771318748371374,-0.03406959411331354,0.6216667104985506,-0.034026778000835624,0.5463720154018785
46.0,0.46,0.6377645618650695,0.0113552009534036,-0.030273746591676726,0.6075389868411715,-0.04559400693441635,0.5732668495815079
47.0,0.47,0.6056146419768894,0.008543403036187041,-0.02355826223626664,0.6522534533286137,-0.04606285755959761,0.5780608787245723
48.0,0.48,0.5994459710668156,0.01328348282942176,-0.04344189712757182,0.6698031153689874,-0.04801475588546365,0.5843366758336552
49.0,0.49,0.6699852566988533,0.0007174279448968378,-0.052598974650104116,0.6593824440965336,-0.04564236383239921,0.5833758876371081
50.0,0.5,0.6855916822981811,0.017297506715742265,0.0025779026883300305,0.6696728655963949,-0.03784282144274107,0.6634233348852576
51.0,0.51,0.7056933786394961,0.019138311681720557,-0.0670713209418054,0.6966249655867676,-0.05050226727454205,0.6289705603686576
52.0,0.52,0.7090102171407696,-0.008057504106981321,-0.005996500855866851,0.7188766914625186,-0.04990519640875302,0.6039677589612977
53.0,0.53,0.6697487640386728,0.011489649028649528,-0.05639952423440094,0.7270111857685241,-0.041417720778186194,0.6521804945850495
54.0,0.54,0.7782781457322546,0.022418050106250795,-0.05518295769444295,0.7644770471658723,-0.028375668591929776,0.6370604818499972
55.0,0.55,0.7762916673523196,0.02269381180721495,-0.06753020527341268,0.8031255496234998,-0.09383427760157644,0.6592535042025756
56.0,0.56,0.798838914899828,0.017352630158775022,-0.03754271337731901,0.7709863184947292,-0.01866718565989807,0.6617969569059975
