MD Temperature:                      0.0009286038 H          293.2295 K
MD Temperature:                      0.0009303455 H          293.7795 K
MD Temperature:                      0.0009290570 H          293.3727 K
MD Temperature:                      0.0009187611 H          290.1215 K
MD Temperature:                      0.0009081850 H          286.7818 K
MD Temperature:                      0.0009049163 H          285.7496 K
MD Temperature:                      0.0009055459 H          285.9484 K
MD Temperature:                      0.0009032309 H          285.2174 K
MD Temperature:                      0.0008961547 H          282.9829 K
MD Temperature:                      0.0008882393 H          280.4835 K
MD Temperature:                      0.0008823073 H          278.6103 K
MD Temperature:                      0.0008759694 H          276.6089 K
MD Temperature:                      0.0008659572 H          273.4473 K
MD Temperature:                      0.0008521982 H          269.1026 K
MD Temperature:                      0.0008380810 H          264.6447 K
MD Temperature:                      0.0008282166 H          261.5298 K
MD Temperature:                      0.0008238199 H          260.1414 K
MD Temperature:                      0.0008204530 H          259.0782 K
MD Temperature:                      0.0008135510 H          256.8988 K
MD Temperature:                      0.0008050720 H          254.2213 K
MD Temperature:                      0.0008005505 H          252.7935 K
MD Temperature:                      0.0007991145 H          252.3401 K
MD Temperature:                      0.0007942856 H          250.8153 K
MD Temperature:                      0.0007863438 H          248.3074 K
MD Temperature:                      0.0007847814 H          247.8141 K
MD Temperature:                      0.0007949923 H          251.0384 K
MD Temperature:                      0.0008106016 H          255.9674 K
MD Temperature:                      0.0008241711 H          260.2523 K
MD Temperature:                      0.0008395660 H          265.1136 K
MD Temperature:                      0.0008638276 H          272.7749 K
MD Temperature:                      0.0008913466 H          281.4646 K
MD Temperature:                      0.0009103448 H          287.4638 K
MD Temperature:                      0.0009199036 H          290.4822 K
MD Temperature:                      0.0009292364 H          293.4293 K
MD Temperature:                      0.0009424678 H          297.6074 K
MD Temperature:                      0.0009529428 H          300.9152 K
MD Temperature:                      0.0009559043 H          301.8503 K
MD Temperature:                      0.0009587124 H          302.7371 K
MD Temperature:                      0.0009678314 H          305.6166 K
MD Temperature:                      0.0009765100 H          308.3571 K
MD Temperature:                      0.0009770950 H          308.5418 K
MD Temperature:                      0.0009726668 H          307.1435 K
MD Temperature:                      0.0009700771 H          306.3258 K
MD Temperature:                      0.0009698220 H          306.2452 K
MD Temperature:                      0.0009666077 H          305.2302 K
MD Temperature:                      0.0009595028 H          302.9867 K
MD Temperature:                      0.0009559752 H          301.8727 K
MD Temperature:                      0.0009590083 H          302.8305 K
MD Temperature:                      0.0009618225 H          303.7192 K
MD Temperature:                      0.0009612040 H          303.5239 K
MD Temperature:                      0.0009641736 H          304.4616 K
MD Temperature:                      0.0009761862 H          308.2549 K
MD Temperature:                      0.0009925417 H          313.4195 K
MD Temperature:                      0.0010062387 H          317.7447 K
MD Temperature:                      0.0010174892 H          321.2973 K
MD Temperature:                      0.0010310696 H          325.5857 K
MD Temperature:                      0.0010474322 H          330.7525 K
MD Temperature:                      0.0010626796 H          335.5673 K
MD Temperature:                      0.0010749920 H          339.4552 K
MD Temperature:                      0.0010859942 H          342.9294 K
MD Temperature:                      0.0010940590 H          345.4761 K
MD Temperature:                      0.0010940525 H          345.4740 K
MD Temperature:                      0.0010868876 H          343.2116 K
MD Temperature:                      0.0010801925 H          341.0974 K
MD Temperature:                      0.0010786699 H          340.6166 K
MD Temperature:                      0.0010809640 H          341.3410 K
MD Temperature:                      0.0010821106 H          341.7031 K
MD Temperature:                      0.0010785698 H          340.5850 K
MD Temperature:                      0.0010745331 H          339.3103 K
MD Temperature:                      0.0010731556 H          338.8753 K
MD Temperature:                      0.0010694766 H          337.7136 K
MD Temperature:                      0.0010605014 H          334.8794 K
MD Temperature:                      0.0010499839 H          331.5583 K
MD Temperature:                      0.0010413878 H          328.8439 K
MD Temperature:                      0.0010345119 H          326.6726 K
